Id,Nombre,Tipo,Padre,Madre,Propietario,Generacion,Genero
1,Firulais,GATO,,,Noe,1,true
2,María,GATO,,,Noe,1,false
3,Gregorio,GATO,,,Juan,1,true
4,Firulais,GATO,1,2,Noe,2,false
5,María,GATO,1,2,Noe,2,true
6,María,GATO,3,2,Noe,2,true
7,Gregorio,GATO,3,2,Noe,2,true
8,Firulais,GATO,1,2,Noe,2,true
9,María,GATO,3,2,Noe,2,false
10,Gregorio,GATO,3,4,Noe,3,false
11,Firulais,GATO,3,4,Noe,3,false
12,Firulais,GATO,1,9,Noe,3,true
13,Firulais,GATO,1,10,Noe,4,true
14,Firulais,GATO,1,11,Noe,4,true
15,Gregorio,GATO,3,4,Noe,3,true
16,María,GATO,5,10,Noe,4,false
17,María,GATO,5,11,Noe,4,true
18,Firulais,GATO,8,10,Noe,4,false
19,Firulais,GATO,8,11,Noe,4,true
20,María,GATO,1,9,Noe,3,true
21,Gregorio,GATO,1,10,Noe,4,false
22,Gregorio,GATO,5,10,Noe,4,true
23,Gregorio,GATO,8,10,Noe,4,false
24,Firulais,GATO,1,11,Noe,4,true
25,Firulais,GATO,5,11,Noe,4,false
26,Firulais,GATO,8,11,Noe,4,true
27,Firulais,GATO,1,9,Noe,3,false
28,Firulais,GATO,1,10,Noe,4,true
29,Firulais,GATO,1,11,Noe,4,true
30,Firulais,GATO,1,16,Noe,5,true
31,Firulais,GATO,1,18,Noe,5,true
32,Firulais,GATO,1,23,Noe,5,true
33,Firulais,GATO,1,25,Noe,5,false
34,María,GATO,12,2,Noe,4,false
35,María,GATO,13,2,Noe,5,true
36,María,GATO,14,2,Noe,5,true
37,María,GATO,15,2,Noe,4,true
38,María,GATO,17,2,Noe,5,true
39,María,GATO,19,2,Noe,5,false
40,María,GATO,20,2,Noe,4,false
41,María,GATO,22,2,Noe,5,true
42,María,GATO,24,2,Noe,5,true
43,María,GATO,26,2,Noe,5,true
44,Gregorio,GATO,3,16,Noe,5,true
45,Gregorio,GATO,3,18,Noe,5,true
46,Gregorio,GATO,3,21,Noe,5,false
47,Gregorio,GATO,3,23,Noe,5,false
48,Gregorio,GATO,3,25,Noe,5,true
49,Firulais,GATO,17,4,Noe,5,true
50,Firulais,GATO,19,4,Noe,5,true
51,Firulais,GATO,22,4,Noe,5,true
52,Firulais,GATO,26,4,Noe,5,false
53,María,GATO,5,10,Noe,4,false
54,María,GATO,5,11,Noe,4,true
55,María,GATO,5,18,Noe,5,true
56,María,GATO,5,23,Noe,5,true
57,María,GATO,6,16,Noe,5,false
58,María,GATO,6,18,Noe,5,true
59,María,GATO,6,21,Noe,5,true
60,María,GATO,6,23,Noe,5,true
61,María,GATO,6,25,Noe,5,true
62,Gregorio,GATO,7,16,Noe,5,false
63,Gregorio,GATO,7,18,Noe,5,true
64,Gregorio,GATO,7,21,Noe,5,false
65,Gregorio,GATO,7,23,Noe,5,false
66,Gregorio,GATO,7,25,Noe,5,true
67,Firulais,GATO,8,10,Noe,4,true
68,Firulais,GATO,8,11,Noe,4,false
69,Firulais,GATO,8,16,Noe,5,true
70,Firulais,GATO,8,25,Noe,5,true
71,María,GATO,13,9,Noe,5,false
72,María,GATO,14,9,Noe,5,false
73,María,GATO,17,9,Noe,5,true
74,María,GATO,19,9,Noe,5,true
75,María,GATO,22,9,Noe,5,false
76,María,GATO,24,9,Noe,5,false
77,María,GATO,26,9,Noe,5,false
78,Gregorio,GATO,12,10,Noe,4,true
79,Gregorio,GATO,14,10,Noe,5,false
80,Gregorio,GATO,17,10,Noe,5,true
81,Gregorio,GATO,19,10,Noe,5,true
82,Gregorio,GATO,20,10,Noe,4,true
83,Gregorio,GATO,24,10,Noe,5,true
84,Gregorio,GATO,26,10,Noe,5,false
85,Firulais,GATO,12,11,Noe,4,true
86,Firulais,GATO,13,11,Noe,5,false
87,Firulais,GATO,20,11,Noe,4,false
88,Firulais,GATO,22,11,Noe,5,false
89,Firulais,GATO,12,2,Noe,4,false
90,Firulais,GATO,12,10,Noe,4,false
91,Firulais,GATO,12,11,Noe,4,false
92,Firulais,GATO,12,16,Noe,5,true
93,Firulais,GATO,12,18,Noe,5,false
94,Firulais,GATO,12,23,Noe,5,false
95,Firulais,GATO,12,25,Noe,5,false
96,Firulais,GATO,13,2,Noe,5,false
97,Firulais,GATO,13,9,Noe,5,true
98,Firulais,GATO,13,11,Noe,5,false
99,Firulais,GATO,13,25,Noe,5,false
100,Firulais,GATO,14,2,Noe,5,true
101,Firulais,GATO,14,9,Noe,5,false
102,Firulais,GATO,14,10,Noe,5,true
103,Firulais,GATO,14,16,Noe,5,true
104,Firulais,GATO,14,18,Noe,5,false
105,Firulais,GATO,14,23,Noe,5,true
106,Gregorio,GATO,15,2,Noe,4,true
107,Gregorio,GATO,15,16,Noe,5,false
108,Gregorio,GATO,15,18,Noe,5,true
109,Gregorio,GATO,15,21,Noe,5,false
110,Gregorio,GATO,15,23,Noe,5,true
111,Gregorio,GATO,15,25,Noe,5,true
112,María,GATO,1,16,Noe,5,true
113,María,GATO,3,16,Noe,5,false
114,María,GATO,6,16,Noe,5,true
115,María,GATO,7,16,Noe,5,false
116,María,GATO,8,16,Noe,5,true
117,María,GATO,12,16,Noe,5,false
118,María,GATO,14,16,Noe,5,true
119,María,GATO,15,16,Noe,5,false
120,María,GATO,19,16,Noe,5,false
121,María,GATO,20,16,Noe,5,true
122,María,GATO,24,16,Noe,5,true
123,María,GATO,26,16,Noe,5,true
124,María,GATO,17,2,Noe,5,false
125,María,GATO,17,4,Noe,5,false
126,María,GATO,17,9,Noe,5,false
127,María,GATO,17,10,Noe,5,false
128,María,GATO,17,18,Noe,5,false
129,María,GATO,17,21,Noe,5,true
130,María,GATO,17,23,Noe,5,false
131,Firulais,GATO,1,18,Noe,5,true
132,Firulais,GATO,3,18,Noe,5,true
133,Firulais,GATO,5,18,Noe,5,false
134,Firulais,GATO,6,18,Noe,5,false
135,Firulais,GATO,7,18,Noe,5,false
136,Firulais,GATO,12,18,Noe,5,true
137,Firulais,GATO,14,18,Noe,5,true
138,Firulais,GATO,15,18,Noe,5,false
139,Firulais,GATO,17,18,Noe,5,false
140,Firulais,GATO,20,18,Noe,5,false
141,Firulais,GATO,24,18,Noe,5,false
142,Firulais,GATO,19,2,Noe,5,true
143,Firulais,GATO,19,4,Noe,5,false
144,Firulais,GATO,19,9,Noe,5,false
145,Firulais,GATO,19,10,Noe,5,false
146,Firulais,GATO,19,16,Noe,5,false
147,Firulais,GATO,19,21,Noe,5,true
148,María,GATO,20,2,Noe,4,true
149,María,GATO,20,10,Noe,4,false
150,María,GATO,20,11,Noe,4,false
151,María,GATO,20,16,Noe,5,false
152,María,GATO,20,18,Noe,5,false
153,María,GATO,20,23,Noe,5,false
154,María,GATO,20,25,Noe,5,false
155,Gregorio,GATO,3,21,Noe,5,true
156,Gregorio,GATO,6,21,Noe,5,false
157,Gregorio,GATO,7,21,Noe,5,true
158,Gregorio,GATO,15,21,Noe,5,false
159,Gregorio,GATO,17,21,Noe,5,true
160,Gregorio,GATO,19,21,Noe,5,false
161,Gregorio,GATO,26,21,Noe,5,true
162,Gregorio,GATO,22,2,Noe,5,true
163,Gregorio,GATO,22,4,Noe,5,true
164,Gregorio,GATO,22,9,Noe,5,true
165,Gregorio,GATO,22,11,Noe,5,true
166,Gregorio,GATO,1,23,Noe,5,false
167,Gregorio,GATO,3,23,Noe,5,true
168,Gregorio,GATO,5,23,Noe,5,false
169,Gregorio,GATO,6,23,Noe,5,false
170,Gregorio,GATO,7,23,Noe,5,false
171,Gregorio,GATO,12,23,Noe,5,true
172,Gregorio,GATO,14,23,Noe,5,true
173,Gregorio,GATO,15,23,Noe,5,true
174,Gregorio,GATO,17,23,Noe,5,false
175,Gregorio,GATO,20,23,Noe,5,true
176,Gregorio,GATO,24,23,Noe,5,true
177,Firulais,GATO,24,2,Noe,5,true
178,Firulais,GATO,24,9,Noe,5,false
179,Firulais,GATO,24,10,Noe,5,false
180,Firulais,GATO,24,16,Noe,5,false
181,Firulais,GATO,24,18,Noe,5,false
182,Firulais,GATO,24,23,Noe,5,false
183,Firulais,GATO,1,25,Noe,5,true
184,Firulais,GATO,3,25,Noe,5,false
185,Firulais,GATO,6,25,Noe,5,false
186,Firulais,GATO,7,25,Noe,5,true
187,Firulais,GATO,8,25,Noe,5,false
188,Firulais,GATO,12,25,Noe,5,false
189,Firulais,GATO,13,25,Noe,5,true
190,Firulais,GATO,15,25,Noe,5,false
191,Firulais,GATO,20,25,Noe,5,false
192,Firulais,GATO,26,2,Noe,5,false
193,Firulais,GATO,26,4,Noe,5,false
194,Firulais,GATO,26,9,Noe,5,false
195,Firulais,GATO,26,10,Noe,5,true
196,Firulais,GATO,26,16,Noe,5,false
197,Firulais,GATO,26,21,Noe,5,false
